material_id,common_name,uns_number,aisi_grade,material_class,condition,yield_strength_MPa,ultimate_tensile_strength_MPa,elongation_percent,hardness_HB,hardness_shore_d,fatigue_limit_MPa,elastic_modulus_GPa,density_kg_m3,max_service_temp_C,min_service_temp_C,max_continuous_use_temp_C,corrosion_seawater,corrosion_acidic,corrosion_alkaline,corrosion_atmospheric,corrosion_high_temp,chemical_resistance_solvents,chemical_resistance_acids,chemical_resistance_alkalis,chemical_resistance_fuels,weldability,weldability_notes,joining_method,machinability_index,flammability,water_absorption_percent,uv_resistance,cost_class,approx_cost_usd_per_kg,availability,stock_forms,fatigue_rating,typical_applications,key_warnings,sources,description_text,stress_table_id
kag_d8894772b88f,Steel SAE 1015,NOT_FOUND,NOT_FOUND,carbon_steel_low,as-rolled,314,421,39,126,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1015 is a carbon steel low (ANSI standard). Ultimate tensile strength 421 MPa, yield strength 314 MPa. Also elongation 39%, Brinell hardness 126 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_05982ac66f06,Steel SAE 1015,NOT_FOUND,NOT_FOUND,carbon_steel_low,normalized,324,424,37,121,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1015 is a carbon steel low (ANSI standard). Ultimate tensile strength 424 MPa, yield strength 324 MPa. Also elongation 37%, Brinell hardness 121 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_356d6e63ff9a,Steel SAE 1015,NOT_FOUND,NOT_FOUND,carbon_steel_low,annealed,284,386,37,111,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1015 is a carbon steel low (ANSI standard). Ultimate tensile strength 386 MPa, yield strength 284 MPa. Also elongation 37%, Brinell hardness 111 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_1c758f8714ac,Steel SAE 1020,NOT_FOUND,NOT_FOUND,carbon_steel_low,as-rolled,331,448,36,143,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1020 is a carbon steel low (ANSI standard). Ultimate tensile strength 448 MPa, yield strength 331 MPa. Also elongation 36%, Brinell hardness 143 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_dce10036fc19,Steel SAE 1020,NOT_FOUND,NOT_FOUND,carbon_steel_low,normalized,346,441,35.8,131,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1020 is a carbon steel low (ANSI standard). Ultimate tensile strength 441 MPa, yield strength 346 MPa. Also elongation 35.8%, Brinell hardness 131 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_2ec038241908,Steel SAE 1020,NOT_FOUND,NOT_FOUND,carbon_steel_low,annealed,295,395,36.5,111,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1020 is a carbon steel low (ANSI standard). Ultimate tensile strength 395 MPa, yield strength 295 MPa. Also elongation 36.5%, Brinell hardness 111 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_356b183dd9e3,Steel SAE 1022,NOT_FOUND,NOT_FOUND,carbon_steel_medium,as-rolled,359,503,35,149,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1022 is a carbon steel medium (ANSI standard). Ultimate tensile strength 503 MPa, yield strength 359 MPa. Also elongation 35%, Brinell hardness 149 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_95cb82fa8631,Steel SAE 1022,NOT_FOUND,NOT_FOUND,carbon_steel_medium,normalized,359,483,34,143,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1022 is a carbon steel medium (ANSI standard). Ultimate tensile strength 483 MPa, yield strength 359 MPa. Also elongation 34%, Brinell hardness 143 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_942333e2d11b,Steel SAE 1022,NOT_FOUND,NOT_FOUND,carbon_steel_medium,annealed,317,450,35,137,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1022 is a carbon steel medium (ANSI standard). Ultimate tensile strength 450 MPa, yield strength 317 MPa. Also elongation 35%, Brinell hardness 137 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_5e035dd0692f,Steel SAE 1030,NOT_FOUND,NOT_FOUND,carbon_steel_medium,as-rolled,345,552,32,179,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1030 is a carbon steel medium (ANSI standard). Ultimate tensile strength 552 MPa, yield strength 345 MPa. Also elongation 32%, Brinell hardness 179 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
