material_id,common_name,uns_number,aisi_grade,material_class,condition,yield_strength_MPa,ultimate_tensile_strength_MPa,elongation_percent,hardness_HB,hardness_shore_d,fatigue_limit_MPa,elastic_modulus_GPa,density_kg_m3,max_service_temp_C,min_service_temp_C,max_continuous_use_temp_C,corrosion_seawater,corrosion_acidic,corrosion_alkaline,corrosion_atmospheric,corrosion_high_temp,chemical_resistance_solvents,chemical_resistance_acids,chemical_resistance_alkalis,chemical_resistance_fuels,weldability,weldability_notes,joining_method,machinability_index,flammability,water_absorption_percent,uv_resistance,cost_class,approx_cost_usd_per_kg,availability,stock_forms,fatigue_rating,typical_applications,key_warnings,sources,description_text,stress_table_id
ss_316l_annealed,316L Stainless Steel,S31603,316L,stainless_austenitic,annealed,170,485,40,217,NOT_FOUND,240,193,8000,454,-196,NOT_FOUND,5,4,5,5,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,No preheat. Use ER316L filler. Low carbon prevents sensitization.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,4-7,4,sheet|plate|rod|tube|pipe|wire,4,"Marine hardware, chemical processing equipment, pharmaceutical tanks, food processing, medical implants.",Sensitization risk between 425-850 deg C. Galvanic corrosion with carbon steel. Not for high-temp oxidation above 870 deg C.,ASME BPVC II-D Table 1A Line 34|Shigley A-22|Cardarelli §1.1.4|Outokumpu Acom 4-2007,"316L Stainless Steel is a stainless austenitic with a yield strength of 170 MPa. Corrosion resistance in seawater is excellent (5/5), and weldability is excellent (5/5). Typical applications include: Marine hardware, chemical processing equipment, pharmaceutical tanks, food processing, medical implants. Key engineering considerations: Sensitization risk between 425-850 deg C. Galvanic corrosion with carbon steel. Not for high-temp oxidation above 870 deg C.",316L_annealed
ss_304l_annealed,304L Stainless Steel,S30403,304L,stainless_austenitic,annealed,170,485,40,201,NOT_FOUND,240,193,8000,425,-196,NOT_FOUND,4,4,5,5,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,No preheat. Use ER308L filler. Low carbon prevents weld decay.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,3-6,5,sheet|plate|rod|tube|pipe|wire,4,"Food processing, brewery and dairy tanks, architectural trim, kitchen sinks, chemical storage.",Less corrosion-resistant than 316L in chlorides. Sensitization minimized by low carbon. Galvanic risk with carbon steel.,ASME BPVC II-D Table 1A Line 30|Shigley A-22|Cardarelli §1.1|Outokumpu Acom 4-2007,"304L Stainless Steel is a stainless austenitic with a yield strength of 170 MPa. Corrosion resistance in seawater is good (4/5), and weldability is excellent (5/5). Typical applications include: Food processing, brewery and dairy tanks, architectural trim, kitchen sinks, chemical storage. Key engineering considerations: Less corrosion-resistant than 316L in chlorides. Sensitization minimized by low carbon. Galvanic risk with carbon steel.",304L_annealed
ss_303_annealed,303 Stainless Steel (Free-Machining),S30300,303,stainless_austenitic,annealed,241,601,50,228,NOT_FOUND,240,193,8000,760,-196,NOT_FOUND,2,3,4,4,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,"Welding not recommended due to sulfur hot cracking. If required, use ER312 filler with low heat input.",welding|mechanical_fastening|brazing,78,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,4-7,4,rod|bar|hex,3,"Screw machine parts, fittings, fasteners, shafts, bushings, nuts, valve components.",Sulfur reduces corrosion resistance vs 304/304L. Poor weldability. Not for marine. Reduced transverse ductility.,Shigley A-22|Cardarelli §1.1|Machinery's Handbook|Kalpakjian Table 3.4,"303 Stainless Steel (Free-Machining) is a stainless austenitic with a yield strength of 241 MPa. Corrosion resistance in seawater is fair (2/5), and weldability is fair (2/5). Typical applications include: Screw machine parts, fittings, fasteners, shafts, bushings, nuts, valve components. Key engineering considerations: Sulfur reduces corrosion resistance vs 304/304L. Poor weldability. Not for marine. Reduced transverse ductility.",
ss_304_annealed,304 Stainless Steel,S30400,304,stainless_austenitic,annealed,255,593,58,201,NOT_FOUND,240,193,8000,425,-196,NOT_FOUND,4,4,5,5,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,No preheat. Use ER308L filler. Standard austenitic weldability.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,3-6,5,sheet|plate|rod|tube|pipe|wire,4,"Chemical and food processing equipment, brewing equipment, cryogenic vessels, gutters, downspouts, flashings.",Less corrosion-resistant than 316 in chlorides. Use 304L for welded fabrication to avoid sensitization. Galvanic risk with carbon steel.,ASME BPVC II-D|Shigley A-22|Kalpakjian Table 3.4,"304 Stainless Steel is a stainless austenitic with a yield strength of 255 MPa. Corrosion resistance in seawater is good (4/5), and weldability is excellent (5/5). Typical applications include: Chemical and food processing equipment, brewing equipment, cryogenic vessels, gutters, downspouts, flashings. Key engineering considerations: Less corrosion-resistant than 316 in chlorides. Use 304L for welded fabrication to avoid sensitization. Galvanic risk with carbon steel.",
ss_316_annealed,316 Stainless Steel,S31600,316,stainless_austenitic,annealed,250,580,58,217,NOT_FOUND,240,193,8000,454,-196,NOT_FOUND,5,4,5,5,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,No preheat. Use ER316L filler.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,5-8,4,sheet|plate|rod|tube|pipe|wire,4,"High corrosion resistance and high creep strength. Chemical and pulp-handling equipment, photographic equipment, fertilizer parts, ketchup-cooking kettles, yeast tubs.",Sensitization between 425-850 deg C - prefer 316L for welded applications. Galvanic corrosion with carbon steel.,ASME BPVC II-D|Shigley A-22|Kalpakjian Table 3.4,"316 Stainless Steel is a stainless austenitic with a yield strength of 250 MPa. Corrosion resistance in seawater is excellent (5/5), and weldability is excellent (5/5). Typical applications include: High corrosion resistance and high creep strength. Chemical and pulp-handling equipment, photographic equipment, fertilizer parts. Key engineering considerations: Sensitization between 425-850 deg C - prefer 316L for welded applications.",
ss_410_annealed,410 Stainless Steel (Martensitic),S41000,410,stainless_martensitic,annealed,275,480,25,155,NOT_FOUND,240,200,7800,650,-30,NOT_FOUND,2,2,3,3,4,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,Preheat 200-300 C required. PWHT mandatory. Use ER410 filler. Crack-prone.,welding|mechanical_fastening|brazing,55,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,3-5,4,rod|bar|plate|sheet,4,"Cutlery blades, valve parts, pump shafts, turbine blades, mild service steam fittings.",Magnetic. Hardenable - useful for wear but increases brittleness. Lower corrosion resistance than austenitic grades. Tempering above 540 C causes embrittlement zone.,Cardarelli §1.1.4|Machinery's Handbook|Kalpakjian Table 3.4,"410 Stainless Steel (Martensitic) is a stainless martensitic with a yield strength of 275 MPa. Corrosion resistance in seawater is fair (2/5), and weldability is fair (2/5). Typical applications include: Cutlery blades, valve parts, pump shafts, turbine blades, mild service steam fittings. Key engineering considerations: Magnetic. Hardenable - useful for wear but increases brittleness. Lower corrosion resistance than austenitic grades. Tempering above 540 C causes embrittlement zone.",
ss_416_annealed,416 Stainless Steel (Free-Machining Martensitic),S41600,416,stainless_martensitic,annealed,275,500,25,155,NOT_FOUND,220,200,7800,650,-30,NOT_FOUND,2,2,3,3,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,Welding not recommended - sulfur causes hot cracking. Preheat 250 C if welding required.,welding|mechanical_fastening|brazing,110,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,3-5,4,rod|bar|hex,3,"Aircraft fittings, bolts, nuts, fire extinguisher inserts, rivets, screws - highest machinability martensitic stainless.",Sulfur addition for machinability severely reduces corrosion resistance and weldability. Not for marine. Must be heat-treated for hardness applications.,Kalpakjian Table 3.4|Machinery's Handbook|Cardarelli §1.1.4,"416 Stainless Steel (Free-Machining Martensitic) is a stainless martensitic with a yield strength of 275 MPa. Corrosion resistance in seawater is fair (2/5), and weldability is fair (2/5). Typical applications include: Aircraft fittings, bolts, nuts, fire extinguisher inserts, rivets, screws. Key engineering considerations: Sulfur addition for machinability severely reduces corrosion resistance and weldability. Not for marine. Must be heat-treated for hardness applications.",
ss_430_annealed,430 Stainless Steel (Ferritic),S43000,430,stainless_ferritic,annealed,240,450,22,160,NOT_FOUND,200,200,7700,815,-30,NOT_FOUND,2,2,3,4,4,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,Preheat 150-200 C. Use ER430 or ER309 filler. Grain growth at high temp reduces toughness.,welding|mechanical_fastening|brazing,55,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,2-4,4,sheet|plate|rod|bar,3,"Automotive trim, appliance panels, kitchen equipment, mild atmospheric exposure, decorative parts.",Magnetic. Cannot be hardened by heat treatment. Notch-sensitive at low temp. Less ductile than austenitic. SCC in specific conditions.,Cardarelli §1.1.4|Machinery's Handbook,"430 Stainless Steel (Ferritic) is a stainless ferritic with a yield strength of 240 MPa. Corrosion resistance in seawater is fair (2/5), and weldability is moderate (3/5). Typical applications include: Automotive trim, appliance panels, kitchen equipment, mild atmospheric exposure, decorative parts. Key engineering considerations: Magnetic. Cannot be hardened by heat treatment. Notch-sensitive at low temp. Less ductile than austenitic. SCC in specific conditions.",
ss_17_4ph_h1025,17-4 PH Stainless Steel (H1025),S17400,17-4 PH,stainless_ph,H1025,1000,1070,12,332,NOT_FOUND,480,196,7800,315,-50,NOT_FOUND,3,3,4,4,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,Weldable with care using ER630 filler. Solution treat and age after welding to restore properties.,welding|mechanical_fastening|brazing,50,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,8-15,3,rod|bar|plate|forging,5,"Aerospace fittings, valve stems, pump shafts, high-strength corrosion-resistant fasteners, gas turbine parts.",Properties degrade above 315 C. SCC risk in marine. Cannot be re-hardened without full re-treatment. More brittle than austenitic stainless.,Cardarelli §1.1.5|Machinery's Handbook,"17-4 PH Stainless Steel (H1025) is a stainless ph with a yield strength of 1000 MPa. Corrosion resistance in seawater is moderate (3/5), and weldability is moderate (3/5). Typical applications include: Aerospace fittings, valve stems, pump shafts, high-strength corrosion-resistant fasteners, gas turbine parts. Key engineering considerations: Properties degrade above 315 C. SCC risk in marine. Cannot be re-hardened without full re-treatment. More brittle than austenitic stainless.",
cs_1018_hr,Carbon Steel 1018 (Hot-Rolled),G10180,1018,carbon_steel_low,hot_rolled,220,400,25,116,NOT_FOUND,200,200,7850,425,-30,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,Excellent weldability. E6013 or E7018 electrodes. No preheat for most thicknesses.,welding|mechanical_fastening|brazing,70,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,0.7-1.2,5,sheet|plate|rod|bar|tube|wire,3,"Structural components, brackets, mounting plates, general fabrication, fixtures, low-stress shafts, bushings, hinges.",Rusts rapidly. Not for marine/chemical. Brittle below -30 C. Limited hardenability. Not for high-stress fatigue.,Shigley A-20|ASME BPVC II-D Table 1A|Cardarelli §1.1,"Carbon Steel 1018 (Hot-Rolled) is a carbon steel low with a yield strength of 220 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is excellent (5/5). Typical applications include: Structural components, brackets, mounting plates, general fabrication, fixtures, low-stress shafts, bushings, hinges. Key engineering considerations: Rusts rapidly. Not for marine/chemical. Brittle below -30 C. Limited hardenability. Not for high-stress fatigue.",1018_HR
